"Date","Price","Open","High","Low","Vol.","Change %"
"03/05/2018","5.89","5.86","5.93","5.74","620.78M","-0.34%"
"03/02/2018","5.91","5.70","5.92","5.55","913.43M","1.72%"
"03/01/2018","5.81","6.05","6.10","5.70","1.04B","-3.97%"
"02/28/2018","6.05","6.16","6.20","6.04","523.12M","-1.63%"
"02/27/2018","6.15","6.14","6.22","6.13","455.44M","-0.16%"
"02/26/2018","6.16","6.20","6.20","6.10","469.31M","0.16%"
"02/23/2018","6.15","6.11","6.15","6.06","415.30M","1.65%"
"02/22/2018","6.05","6.07","6.14","5.99","534.37M","0.17%"
"02/21/2018","6.04","6.29","6.30","6.03","892.29M","-3.05%"
"02/20/2018","6.23","6.12","6.30","6.12","686.24M","2.13%"
"02/16/2018","6.10","6.13","6.25","6.09","637.66M","-0.97%"
"02/15/2018","6.16","6.12","6.21","6.04","698.90M","1.99%"
"02/14/2018","6.04","5.78","6.06","5.76","744.99M","3.78%"
"02/13/2018","5.82","5.66","5.86","5.63","625.52M","2.11%"
"02/12/2018","5.70","5.88","5.89","5.63","1.09B","-1.72%"
"02/09/2018","5.80","5.96","5.97","5.44","1.67B","6.62%"
"02/08/2018","5.44","5.85","5.88","5.44","1.14B","-4.90%"
"02/07/2018","5.72","5.74","5.87","5.67","802.93M","1.42%"
"02/06/2018","5.64","5.11","5.64","5.10","1.11B","5.62%"
"02/05/2018","5.34","5.67","5.83","5.12","1.17B","-8.56%"
"02/02/2018","5.84","5.92","5.95","5.78","718.46M","-2.83%"
"02/01/2018","6.01","5.96","6.17","5.95","519.22M","-2.12%"
"01/31/2018","6.14","6.14","6.23","6.11","478.58M","1.15%"
"01/30/2018","6.07","6.03","6.16","5.96","570.83M","-1.62%"
"01/29/2018","6.17","6.07","6.20","6.02","455.11M","1.48%"
"01/26/2018","6.08","5.95","6.08","5.94","516.35M","2.88%"
"01/25/2018","5.91","5.95","5.99","5.89","409.88M","0.34%"
"01/24/2018","5.89","5.98","6.01","5.84","579.97M","-1.34%"
"01/23/2018","5.97","5.90","6.00","5.88","475.23M","2.23%"
"01/22/2018","5.84","5.76","5.84","5.70","550.94M","1.57%"
"01/19/2018","5.75","5.70","5.78","5.67","609.38M","2.50%"
"01/18/2018","5.61","5.60","5.67","5.57","408.63M","-0.18%"
"01/17/2018","5.62","5.52","5.63","5.42","538.41M","2.18%"
"01/16/2018","5.50","5.60","5.69","5.42","702.35M","-1.26%"
"01/12/2018","5.57","5.59","5.62","5.53","359.92M","-0.54%"
"01/11/2018","5.60","5.62","5.66","5.58","406.03M","0.18%"
"01/10/2018","5.59","5.46","5.60","5.40","582.67M","0.72%"
"01/09/2018","5.55","5.56","5.60","5.47","497.00M","0.00%"
"01/08/2018","5.55","5.51","5.62","5.46","881.22M","3.16%"
"01/05/2018","5.38","5.35","5.42","5.28","580.12M","0.75%"
"01/04/2018","5.34","5.39","5.45","5.32","583.27M","0.56%"
"01/03/2018","5.31","5.10","5.34","5.09","914.70M","6.63%"
"01/02/2018","4.98","4.89","4.99","4.86","355.62M","2.89%"
"12/29/2017","4.84","4.96","4.96","4.84","279.96M","-1.83%"
"12/28/2017","4.93","4.95","4.98","4.93","240.25M","0.00%"
"12/27/2017","4.93","4.92","5.00","4.91","329.49M","-0.20%"
"12/26/2017","4.94","4.83","4.94","4.80","355.08M","1.23%"
"12/22/2017","4.88","4.86","4.89","4.78","466.27M","-0.41%"
"12/21/2017","4.90","4.92","4.95","4.89","300.91M","-0.41%"
"12/20/2017","4.92","4.94","4.95","4.86","288.82M","0.41%"
"12/19/2017","4.90","4.94","4.94","4.87","373.10M","-1.01%"
"12/18/2017","4.95","4.83","4.95","4.80","477.70M","3.34%"
"12/15/2017","4.79","4.71","4.81","4.64","670.04M","2.79%"
"12/14/2017","4.66","4.65","4.73","4.62","438.16M","0.22%"
"12/13/2017","4.65","4.81","4.81","4.65","554.28M","-2.52%"
"12/12/2017","4.77","4.82","4.85","4.75","455.02M","-2.05%"
"12/11/2017","4.87","4.80","4.87","4.79","372.75M","1.67%"
"12/08/2017","4.79","4.85","4.87","4.78","466.87M","-0.21%"
"12/07/2017","4.80","4.80","4.84","4.75","542.60M","1.48%"
"12/06/2017","4.73","4.64","4.75","4.62","467.03M","0.85%"
"12/05/2017","4.69","4.56","4.82","4.51","981.49M","0.43%"
"12/04/2017","4.67","5.00","5.01","4.61","1.24B","-5.47%"
"12/01/2017","4.94","4.98","5.00","4.81","811.55M","-1.59%"
"11/30/2017","5.02","4.98","5.07","4.92","823.77M","2.24%"
"11/29/2017","4.91","5.25","5.25","4.78","1.40B","-6.83%"
"11/28/2017","5.27","5.36","5.37","5.21","512.75M","-1.50%"
"11/27/2017","5.35","5.43","5.43","5.35","422.89M","-1.29%"
"11/24/2017","5.42","5.39","5.42","5.37","180.75M","0.93%"
"11/22/2017","5.37","5.42","5.42","5.34","356.64M","-0.56%"
"11/21/2017","5.40","5.39","5.41","5.36","399.17M","0.93%"
"11/20/2017","5.35","5.30","5.36","5.26","396.10M","1.33%"
"11/17/2017","5.28","5.35","5.38","5.27","515.66M","-0.19%"
"11/16/2017","5.29","5.32","5.36","5.28","441.77M","0.76%"
"11/15/2017","5.25","5.30","5.30","5.20","501.95M","-1.87%"
"11/14/2017","5.35","5.33","5.37","5.28","529.29M","0.56%"
"11/13/2017","5.32","5.40","5.43","5.30","582.38M","-1.48%"
"11/10/2017","5.40","5.33","5.47","5.29","1.25B","5.26%"
"11/09/2017","5.13","5.13","5.16","5.01","978.56M","-1.91%"
"11/08/2017","5.23","5.30","5.30","5.18","522.99M","-1.32%"
"11/07/2017","5.30","5.26","5.32","5.25","427.70M","1.15%"
"11/06/2017","5.24","5.18","5.25","5.17","389.94M","0.38%"
"11/03/2017","5.22","5.18","5.22","5.13","353.64M","1.36%"
"11/02/2017","5.15","5.15","5.20","5.09","342.31M","-0.58%"
"11/01/2017","5.18","5.23","5.25","5.12","502.58M","0.19%"
"10/31/2017","5.17","5.13","5.20","5.12","411.91M","1.37%"
"10/30/2017","5.10","5.05","5.15","5.03","504.06M","0.99%"
"10/27/2017","5.05","4.95","5.05","4.92","572.19M","3.27%"
"10/26/2017","4.89","4.87","4.90","4.85","322.74M","1.03%"
"10/25/2017","4.84","4.93","4.98","4.78","828.16M","-2.62%"
"10/24/2017","4.97","4.92","4.97","4.90","407.25M","1.02%"
"10/23/2017","4.92","4.94","4.97","4.89","428.70M","0.00%"
"10/20/2017","4.92","4.96","4.99","4.91","451.62M","-0.61%"
"10/19/2017","4.95","4.86","4.95","4.81","570.77M","0.20%"
"10/18/2017","4.94","4.95","4.95","4.83","567.32M","0.00%"
"10/17/2017","4.94","4.93","4.97","4.91","478.59M","-0.20%"
"10/16/2017","4.95","4.89","4.95","4.83","576.64M","1.85%"
"10/13/2017","4.86","4.84","4.88","4.79","628.73M","1.67%"
"10/12/2017","4.78","4.78","4.83","4.75","528.29M","0.21%"
"10/11/2017","4.77","4.74","4.78","4.69","529.51M","1.06%"
"10/10/2017","4.72","4.79","4.82","4.68","974.88M","1.94%"
"10/09/2017","4.63","4.57","4.67","4.55","563.49M","2.21%"
"10/06/2017","4.53","4.49","4.55","4.47","318.80M","0.22%"
"10/05/2017","4.52","4.55","4.55","4.49","437.36M","0.00%"
"10/04/2017","4.52","4.49","4.54","4.45","427.85M","0.89%"
"10/03/2017","4.48","4.48","4.51","4.44","390.33M","0.22%"
"10/02/2017","4.47","4.52","4.55","4.42","503.48M","0.00%"
"09/29/2017","4.47","4.48","4.49","4.43","619.09M","1.82%"
"09/28/2017","4.39","4.40","4.40","4.34","435.24M","0.00%"
"09/27/2017","4.39","4.39","4.41","4.32","713.72M","2.09%"
"09/26/2017","4.30","4.41","4.47","4.26","1.13B","0.47%"
"09/25/2017","4.28","4.44","4.45","4.25","874.58M","-4.25%"
"09/22/2017","4.47","4.51","4.56","4.46","491.23M","-1.11%"
"09/21/2017","4.52","4.54","4.57","4.44","1.08B","-2.80%"
"09/20/2017","4.65","4.69","4.74","4.61","724.92M","-0.64%"
"09/19/2017","4.68","4.64","4.75","4.62","874.28M","-0.21%"
"09/18/2017","4.69","4.63","4.78","4.62","1.68B","4.22%"
"09/15/2017","4.50","4.32","4.50","4.32","1.36B","6.13%"
"09/14/2017","4.24","4.22","4.31","4.20","513.71M","-0.47%"
"09/13/2017","4.26","4.21","4.29","4.18","580.96M","0.47%"
"09/12/2017","4.24","4.25","4.25","4.17","411.49M","0.47%"
"09/11/2017","4.22","4.14","4.24","4.13","567.44M","3.18%"
"09/08/2017","4.09","4.15","4.17","4.07","498.86M","-1.68%"
"09/07/2017","4.16","4.16","4.20","4.12","352.87M","0.24%"
"09/06/2017","4.15","4.18","4.20","4.11","397.67M","0.00%"
"09/05/2017","4.15","4.21","4.21","4.09","696.70M","-2.58%"
"09/01/2017","4.26","4.25","4.30","4.24","445.43M","0.47%"
"08/31/2017","4.24","4.16","4.24","4.16","612.68M","2.42%"
"08/30/2017","4.14","4.14","4.15","4.11","384.40M","0.49%"
"08/29/2017","4.12","4.06","4.14","4.06","324.09M","0.00%"
"08/28/2017","4.12","4.11","4.13","4.06","389.50M","0.49%"
"08/25/2017","4.10","4.15","4.16","4.09","357.20M","-0.73%"
"08/24/2017","4.13","4.18","4.18","4.10","469.70M","-0.24%"
"08/23/2017","4.14","4.03","4.16","4.02","579.52M","1.97%"
"08/22/2017","4.06","4.01","4.07","3.99","450.46M","2.01%"
